advertiser_id,product_id,conversion_rate
2WPF1NXECF3G6NUMWDO7,2dklx7,0.046511627906976744
2WPF1NXECF3G6NUMWDO7,59j88y,0.04
2WPF1NXECF3G6NUMWDO7,5gipgm,0.038461538461538464
2WPF1NXECF3G6NUMWDO7,ugdfpk,0.03333333333333333
2WPF1NXECF3G6NUMWDO7,gvu1el,0.03125
2WPF1NXECF3G6NUMWDO7,0299ko,0.030303030303030304
2WPF1NXECF3G6NUMWDO7,4l9sze,0.02857142857142857
2WPF1NXECF3G6NUMWDO7,8tem7z,0.02857142857142857
2WPF1NXECF3G6NUMWDO7,nxm2xm,0.02857142857142857
2WPF1NXECF3G6NUMWDO7,np11o4,0.027777777777777776
2WPF1NXECF3G6NUMWDO7,1gegxk,0.027777777777777776
2WPF1NXECF3G6NUMWDO7,gkz6wc,0.027777777777777776
2WPF1NXECF3G6NUMWDO7,lq3nso,0.02702702702702703
2WPF1NXECF3G6NUMWDO7,nw5ji2,0.02631578947368421
2WPF1NXECF3G6NUMWDO7,2bnen4,0.02631578947368421
2WPF1NXECF3G6NUMWDO7,ipdbkq,0.02631578947368421
2WPF1NXECF3G6NUMWDO7,9cgdv8,0.025
2WPF1NXECF3G6NUMWDO7,sc8wyj,0.024390243902439025
2WPF1NXECF3G6NUMWDO7,drnjj2,0.024390243902439025
2WPF1NXECF3G6NUMWDO7,p0dsnt,0.024390243902439025
5E325T5HYL61QSABVR5V,udqe3f,0.09090909090909091
5E325T5HYL61QSABVR5V,9lk0rl,0.047619047619047616
5E325T5HYL61QSABVR5V,sysfo5,0.041666666666666664
5E325T5HYL61QSABVR5V,hc8w58,0.034482758620689655
5E325T5HYL61QSABVR5V,trkqel,0.03225806451612903
5E325T5HYL61QSABVR5V,av9ue3,0.030303030303030304
5E325T5HYL61QSABVR5V,rlrndy,0.029411764705882353
5E325T5HYL61QSABVR5V,gcqxrl,0.027777777777777776
5E325T5HYL61QSABVR5V,pkiww1,0.027777777777777776
5E325T5HYL61QSABVR5V,bypbv0,0.027777777777777776
5E325T5HYL61QSABVR5V,ntsah2,0.02702702702702703
5E325T5HYL61QSABVR5V,61f3tt,0.025
5E325T5HYL61QSABVR5V,4bxb6f,0.024390243902439025
5E325T5HYL61QSABVR5V,so39n1,0.024390243902439025
5E325T5HYL61QSABVR5V,et5htr,0.024390243902439025
5E325T5HYL61QSABVR5V,dbwejh,0.024390243902439025
5E325T5HYL61QSABVR5V,xiusbf,0.024390243902439025
5E325T5HYL61QSABVR5V,irymbc,0.023809523809523808
5E325T5HYL61QSABVR5V,htd40c,0.023809523809523808
5E325T5HYL61QSABVR5V,8s5t1b,0.023809523809523808
62FIK8F2YT8JSFDBLEC9,pl0ble,0.09375
62FIK8F2YT8JSFDBLEC9,xi7mbu,0.05714285714285714
62FIK8F2YT8JSFDBLEC9,jc5pyx,0.05405405405405406
62FIK8F2YT8JSFDBLEC9,hwii82,0.05263157894736842
62FIK8F2YT8JSFDBLEC9,akr23y,0.045454545454545456
62FIK8F2YT8JSFDBLEC9,pyrir2,0.04081632653061224
62FIK8F2YT8JSFDBLEC9,83k1nn,0.03125
62FIK8F2YT8JSFDBLEC9,bwp1oz,0.030303030303030304
62FIK8F2YT8JSFDBLEC9,bwgzkm,0.029411764705882353
62FIK8F2YT8JSFDBLEC9,spv9n5,0.029411764705882353
62FIK8F2YT8JSFDBLEC9,ektrp8,0.02857142857142857
62FIK8F2YT8JSFDBLEC9,i0459f,0.02857142857142857
62FIK8F2YT8JSFDBLEC9,4vijga,0.027777777777777776
62FIK8F2YT8JSFDBLEC9,jb248f,0.027777777777777776
62FIK8F2YT8JSFDBLEC9,e829df,0.02702702702702703
62FIK8F2YT8JSFDBLEC9,kvoa81,0.02702702702702703
62FIK8F2YT8JSFDBLEC9,nar22o,0.02564102564102564
